hanzi,level,pinyin,definition
根,5,gen1,"root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:條|条[tiao2]; radical (chemistry)",
跟,3,gen1,heel; to follow closely; to go with; to marry sb (of woman); with; towards; as (compared to); from (different from); and (in addition to),
根本,5,gen1 ben3,fundamental; basic; root; simply; absolutely (not); (not) at all; CL:個|个[ge4],
根据,3,gen1 ju4,according to; based on; basis; foundation; CL:個|个[ge4],
跟前,6,gen1 qian2,in front of; close to; nearby; the time just before,
根深蒂固,6,gen1 shen1 di4 gu4,deep-rooted (problem etc),
跟随,6,gen1 sui2,to follow,
根源,6,gen1 yuan2,origin; root (cause),
跟踪,6,gen1 zong1,to follow sb's tracks; to tail; to shadow,
耕地,6,geng1 di4,arable land; to plow land,
更新,6,geng1 xin1,to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate,
更正,6,geng1 zheng4,to correct; to make a correction,
更,5,geng4,even more; furthermore,
更加,5,geng4 jia1,more (than sth else); even more,
公安局,6,gong1 an1 ju2,Public Security Bureau,
公布,5,gong1 bu4,to announce; to make public; to publish,
供不应求,6,gong1 bu4 ying4 qiu2,supply does not meet demand,
工厂,5,gong1 chang3,"factory; CL:家[jia1],座[zuo4]",
工程师,5,gong1 cheng2 shi1,"engineer; CL:個|个[ge4],位[wei4],名[ming2]",
公道,6,gong1 dao4,justice; fairness; public highway,
宫殿,6,gong1 dian4,palace; CL:座[zuo4],
工夫,6,gong1 fu5,time; skill,
功夫,5,gong1 fu5,skill; art; kung fu; labor; effort,
公告,6,gong1 gao4,post; announcement,
公共汽车,2,gong1 gong4 qi4 che1,"bus; CL:輛|辆[liang4],班[ban1]",
公关,6,gong1 guan1,public relations,
攻击,6,gong1 ji1,to attack; to accuse; to charge; an attack (terrorist or military),
供给,6,gong1 ji3,to furnish; to provide; supply (as in supply and demand),
公斤,2,gong1 jin1,kilogram (kg),
恭敬,6,gong1 jing4,deferential; with respect,
工具,4,gong1 ju4,tool; instrument; utensil; means (to achieve a goal etc),
公开,5,gong1 kai1,public; to publish; to make public,
功课,6,gong1 ke4,homework; assignment; task; classwork; lesson; study; CL:門|门[men2],
攻克,6,gong1 ke4,to capture; to take,
功劳,6,gong1 lao2,contribution; meritorious service; credit,
公里,4,gong1 li3,kilometer,
公民,6,gong1 min2,citizen,
功能,5,gong1 neng2,function; capability,
公平,5,gong1 ping2,fair; impartial,
公婆,6,gong1 po2,husband's parents; parents-in-law,
公然,6,gong1 ran2,openly; publicly; undisguised,
工人,5,gong1 ren2,"worker; CL:個|个[ge4],名[ming2]",
公认,6,gong1 ren4,publicly known (to be); accepted (as),
公式,6,gong1 shi4,formula,
公司,2,gong1 si1,(business) company; company; firm; corporation; incorporated; CL:家[jia1],
公务,6,gong1 wu4,official business,
功效,6,gong1 xiao4,efficacy,
工业,5,gong1 ye4,industry; CL:種|种[zhong3],
工艺品,6,gong1 yi4 pin3,handicraft article; handiwork; CL:個|个[ge4],
公寓,5,gong1 yu4,apartment building; block of flats; CL:套|套[tao4],
公元,5,gong1 yuan2,(year) AD; Christian era,
公园,3,gong1 yuan2,public park; CL:場|场[chang3],
公正,6,gong1 zheng4,just; fair; equitable,
公证,6,gong1 zheng4,notarization; notarized; acknowledgement,
公主,5,gong1 zhu3,princess,
工资,4,gong1 zi1,"wages; pay; CL:個|个[ge4],份[fen4],月[yue4]",
工作,1,gong1 zuo4,"job; work; construction; task; CL:個|个[ge4],份[fen4],項|项[xiang4]",
巩固,6,gong3 gu4,to consolidate; consolidation; to strengthen,
共和国,6,gong4 he2 guo2,republic,
共计,6,gong4 ji4,to sum up to; to total,
共鸣,6,gong4 ming2,physical resonance; sympathetic response to sth,
共同,4,gong4 tong2,common; joint; jointly; together; collaborative,
贡献,5,gong4 xian4,to contribute; to dedicate; to devote; contribution; CL:個|个[ge4],
勾结,6,gou1 jie2,to collude with; to collaborate with; to gang up with,
沟通,5,gou1 tong1,communicate,
钩子,6,gou1 zi5,hook,
狗,1,gou3,"dog; CL:隻|只[zhi1],條|条[tiao2]",
够,4,gou4,to reach; to be enough,
构成,5,gou4 cheng2,to constitute; to form; to compose; to make up; to configure (computing),
构思,6,gou4 si1,to outline a story; to make a preliminary sketch,
购物,4,gou4 wu4,shopping,
孤单,4,gu1 dan1,lone; lonely; loneliness,
孤独,6,gu1 du2,lonely; solitary,
辜负,6,gu1 fu4,to fail to live up (to expectations); unworthy (of trust); to let down; to betray (hopes); to disappoint,
姑姑,5,gu1 gu5,paternal aunt; CL:個|个[ge4],
估计,4,gu1 ji4,to estimate; to reckon; CL:個|个[ge4],
孤立,6,gu1 li4,isolate; isolated,
姑娘,5,gu1 niang5,girl; young woman; young lady; daughter; CL:個|个[ge4],
姑且,6,gu1 qie3,temporarily; the time being; for the moment; provisional; tentatively,
古代,5,gu3 dai4,ancient times; olden times,
古典,5,gu3 dian3,classical,
股东,6,gu3 dong1,shareholder; stockholder,
古董,6,gu3 dong3,curio; antique,
鼓动,6,gu3 dong4,to agitate; to arouse; to instigate; to encite,
股份,6,gu3 fen4,a share (in a company); stock,
骨干,6,gu3 gan4,diaphysis (long segment of a bone); fig. backbone,
古怪,6,gu3 guai4,eccentric; grotesque; oddly; queer,
古老,5,gu3 lao3,ancient; old; age-old,
鼓励,4,gu3 li4,to encourage,
股票,5,gu3 piao4,share; stock (market),
骨头,5,gu3 tou5,"bone; strong character; CL:根[gen1],塊|块[kuai4]",
鼓舞,5,gu3 wu3,heartening (news); boost (morale); CL:個|个[ge4],
鼓掌,4,gu3 zhang3,to applaud; to clap,
固定,5,gu4 ding4,fixed; set; regular,
顾客,4,gu4 ke4,client; customer; CL:位[wei4],
顾虑,6,gu4 lv4,misgivings; apprehensions,
固然,6,gu4 ran2,admittedly (it's true that...),
故事,5,gu4 shi5,story; tale; narrative,
固体,5,gu4 ti3,solid,
顾问,6,gu4 wen4,adviser; consultant,
故乡,6,gu4 xiang1,home; homeland; native place; CL:個|个[ge4],
故意,4,gu4 yi4,deliberately; on purpose,
雇佣,5,gu4 yong1,to employ; to hire,
固有,6,gu4 you3,intrinsic to sth; inherent; native,
故障,6,gu4 zhang4,malfunction; breakdown; defect; shortcoming; fault; failure; impediment; error; bug (in software),
固执,6,gu4 zhi5,persistent; stubborn,
刮风,3,gua1 feng1,to be windy,
挂,4,gua4,to hang or suspend (from a hook etc); (of a telephone call) to hang up; to be worried or concerned; to make a phone call (topolect); to register or record; to hitch; classifier for sets or clusters of objects,
挂号,5,gua4 hao4,to register (a letter etc),
乖,5,guai1,"(of a child) obedient, well-behaved; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal",
拐弯,5,guai3 wan1,to go round a curve; to turn a corner; fig. a new direction,
拐杖,6,guai3 zhang4,crutches; crutch; walking stick,
怪不得,5,guai4 bu5 de5,lit. you can't blame it!; no wonder!; so that's why!,
关,3,guan1,mountain pass; to close; to shut; to turn off; to concern; to involve,
官,5,guan1,official; government; organ of body; CL:個|个[ge4],
关闭,5,guan1 bi4,to close; to shut,
观察,5,guan1 cha2,to observe; to watch; to survey; to examine; observation; view; perspective; CL:個|个[ge4],
观点,5,guan1 dian3,point of view; viewpoint; standpoint; CL:個|个[ge4],
官方,6,guan1 fang1,official; (by the) government,
观光,6,guan1 guang1,to tour; sightseeing; tourism,
关怀,5,guan1 huai2,care; solicitude; to show care for; concerned about; attentive to,
关键,4,guan1 jian4,crucial point; crux; CL:個|个[ge4]; key; crucial; pivotal,
观念,5,guan1 nian4,notion; thought; concept; sense; views; ideology; general impressions,
关系,3,guan1 xi4,relation; relationship; to concern; to affect; to have to do with; guanxi; CL:個|个[ge4],
关心,3,guan1 xin1,to care for sth; caring; concerned,
关于,3,guan1 yu2,pertaining to; concerning; regarding; with regards to; about; a matter of,
关照,6,guan1 zhao4,to take care; to keep an eye on; to look after; to tell; to remind,
观众,4,guan1 zhong4,spectators; audience; visitors (to an exhibition etc),
管理,4,guan3 li3,to supervise; to manage; to administer; management; administration; CL:個|个[ge4],
管辖,6,guan3 xia2,to administer; to have jurisdiction (over),
管子,5,guan3 zi3,tube; pipe; drinking straw; CL:根[gen1],
罐,6,guan4,can; jar; pot,
贯彻,6,guan4 che4,to implement; to put into practice; to carry out,
灌溉,6,guan4 gai4,to irrigate,
冠军,5,guan4 jun1,champion; CL:個|个[ge4],
惯例,6,guan4 li4,conventional,
罐头,5,guan4 tou5,tin; can; CL:個|个[ge4],
光,4,guang1,light; ray; CL:道[dao4]; bright; only; merely; to use up,
光彩,6,guang1 cai3,luster; splendor; radiance; brilliance,
光滑,5,guang1 hua5,glossy; sleek; smooth,
光辉,6,guang1 hui1,radiance; glory; brilliant; magnificent,
光临,5,guang1 lin2,(honorific) Welcome!; You honor us with your presence.; It is an honor to have you.,
光芒,6,guang1 mang2,rays of light; brilliant rays; radiance,
光明,5,guang1 ming2,light; illumination; radiance (esp. glory of Buddha etc); fig. bright prospect; openhearted,
光盘,5,guang1 pan2,"compact disc; CD or DVD; CD ROM; CL:片[pian4],張|张[zhang1]",
光荣,5,guang1 rong2,honor and glory; CL:個|个[ge4],
广播,4,guang3 bo1,broadcast; widely spread; CL:個|个[ge4],
广场,5,guang3 chang3,a public square (e.g. Tiananmen Square); plaza; CL:個|个[ge4],
广大,5,guang3 da4,(of an area) vast or extensive; large-scale; widespread; (of people) numerous,
广泛,5,guang3 fan4,extensive; wide range,
广告,4,guang3 gao4,to advertise; a commercial; advertisement; CL:項|项[xiang4],
广阔,6,guang3 kuo4,wide; vast,
逛,4,guang4,to stroll; to visit,
规定,4,gui1 ding4,provision; to fix; to set; to formulate; to stipulate; to provide; regulation; rule; CL:個|个[ge4],
规范,6,gui1 fan4,norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify,
规格,6,gui1 ge2,standard; norm; specification,
归根到底,6,gui1 gen1 dao4 di3,(saying) to sum it up...,
规划,6,gui1 hua4,plan; program,
归还,6,gui1 huan2,to return sth; to revert,
规矩,5,gui1 ju5,lit. compass and set square; fig. established standard; rule; customs; practices; fig. upright and honest; well-behaved,
规律,5,gui1 lv4,rule (e.g. of science); law of behavior; regular pattern; rhythm; discipline,
规模,5,gui1 mo2,scale; scope; extent; CL:個|个[ge4],
归纳,6,gui1 na4,to sum up; to summarize; to conclude from facts; induction (method of deduction in logic),
规则,5,gui1 ze2,rule; regulation; rules and regulations,
规章,6,gui1 zhang1,rule; regulation,
轨道,6,gui3 dao4,orbit; railway or tram line; fig. conventional way of thinking,
贵,2,gui4,expensive; noble; your (name); precious,
跪,6,gui4,kneel,
柜台,5,gui4 tai2,sales counter; front desk; bar,
贵族,6,gui4 zu2,lord; nobility; nobleman; noblewoman; aristocrat; aristocracy,
滚,5,gun3,to boil; to roll; get lost (imperative); take a hike,
棍棒,6,gun4 bang4,club,
锅,5,guo1,"pot; pan; boiler; CL:口[kou3],隻|只[zhi1]",
国防,6,guo2 fang2,national defense,
国籍,5,guo2 ji2,nationality,
国际,4,guo2 ji4,international,
国家,3,guo2 jia1,country; nation; state; CL:個|个[ge4],
国庆节,5,Guo2 qing4 jie2,PRC National Day (October 1st),
国务院,6,Guo2 Wu4 Yuan4,State Council (PRC); State Department (USA),
果断,6,guo3 duan4,firm; decisive,
果然,4,guo3 ran2,really; sure enough; as expected,
果实,5,guo3 shi2,fruit; gains,
果汁,3,guo3 zhi1,fruit juice,
过,2,guo4,to pass (time); to celebrate (a holiday); to live; to get along,
过程,4,guo4 cheng2,course of events; process; CL:個|个[ge4],
过度,6,guo4 du4,excessive; over-; excess; going too far; extravagant; intemperate; overdue,
过渡,6,guo4 du4,to cross over (by ferry); transition; interim; caretaker (administration),
过分,5,guo4 fen4,excessive; undue; overly,
过奖,6,guo4 jiang3,to over-praise; to flatter,
过滤,6,guo4 lv4,to filter; filter,
过敏,5,guo4 min3,to be allergic; allergy,
过期,5,guo4 qi1,to be overdue; to exceed the time limit; to expire (as in expiration date),
过去,3,guo4 qu5,(in the) past; former; previous; to go over; to pass by,
过失,6,guo4 shi1,defect; fault,
过问,6,guo4 wen4,to show an interest in; to get involved with,
过瘾,6,guo4 yin3,to satisfy a craving; to get a kick out of sth; gratifying; immensely enjoyable; satisfying; fulfilling,
过于,6,guo4 yu2,too much; excessively,
过,5,guo5,(experienced action marker); to cross; to go over,
哈,5,ha1,laughter; yawn; abbr. for Kazakhstan,
嗨,6,hai1,oh alas; hey!; hi! (loanword),
还,2,hai2,still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else,
还是,3,hai2 shi4,or; still; nevertheless,
孩子,2,hai2 zi5,child,
海拔,6,hai3 ba2,height above sea level; elevation,
海滨,6,hai3 bin1,shore; seaside,
海关,5,hai3 guan1,customs (i.e. border crossing inspection); CL:個|个[ge4],
海鲜,5,hai3 xian1,seafood,
海洋,4,hai3 yang2,ocean; CL:個|个[ge4],
害怕,3,hai4 pa4,to be afraid; to be scared,
害羞,4,hai4 xiu1,blush; shy,
含糊,6,han2 hu5,obscurity; vague,
寒假,4,han2 jia4,winter vacation,
寒暄,6,han2 xuan1,exchanging conventional greetings; to talk about the weather,
含义,6,han2 yi4,meaning (implicit in a phrase); implied meaning; hidden meaning; hint; connotation,
喊,5,han3,call; cry; to shout,
罕见,6,han3 jian4,rare; rarely seen,
汗,4,han4,"perspiration; sweat; CL:滴[di1],頭|头[tou2],身[shen1]; Khan (Persian or Mongol king or emperor); Khan (name); to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)",
捍卫,6,han4 wei4,defend; uphold; safeguard,
汉语,1,Han4 yu3,Chinese language; CL:門|门[men2],
航班,4,hang2 ban1,scheduled flight; flight number; plane; scheduled sailing; sailing number; passenger ship,
航空,6,hang2 kong1,aviation,
行列,6,hang2 lie4,procession,
航天,6,hang2 tian1,space flight,
航行,6,hang2 xing2,to sail; to fly; to navigate,
行业,5,hang2 ye4,industry; business,
豪华,5,hao2 hua2,luxurious,
豪迈,6,hao2 mai4,bold; open-minded; heroic,
毫米,6,hao2 mi3,millimeter,
毫无,6,hao2 wu2,not in the least; none whatsoever; completely without,
好,1,hao3,good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness),
好吃,2,hao3 chi1,tasty; delicious,
好处,4,hao3 chu5,benefit; advantage; gain; profit; also pronounced hao3 chu4; CL:個|个[ge4],
好像,4,hao3 xiang4,as if; to seem like,
号,2,hao4,day of a month; (suffix used after) name of a ship; (ordinal) number,
耗费,6,hao4 fei4,to waste; to spend; to consume; to squander,
好客,6,hao4 ke4,hospitality; to treat guests well; to enjoy having guests; hospitable; friendly,
号码,4,hao4 ma3,"number; CL:堆[dui1],個|个[ge4]",
好奇,5,hao4 qi2,inquisitive; curious,
号召,6,hao4 zhao4,to call; to appeal,
喝,1,he1,to drink; to shout (a command); My goodness!,
呵,6,he1,to scold in a loud voice; to yawn,
和,1,he2,and; together with; with; sum; union; peace; harmony; surname He; Japanese related; Taiwan pr.  han4,
河,3,he2,"river; CL:條|条[tiao2],道[dao4]",
和蔼,6,he2 ai3,kindly; nice; amiable,
何必,5,he2 bi4,there is no need; why should,
合并,6,he2 bing4,to merge; to annex,
合成,6,he2 cheng2,to compose; to constitute; compound; synthesis; mixture; synthetic,
合法,5,he2 fa3,lawful; legitimate; legal,
合格,4,he2 ge2,qualified; meeting a standard; eligible (voter),
合乎,6,he2 hu1,to accord with; conforming to,
合伙,6,he2 huo3,to act jointly; to form a partnership,
和解,6,he2 jie3,to settle (a dispute out of court); to reconcile; settlement; conciliation; to become reconciled,
何况,5,he2 kuang4,much less; let alone,
合理,5,he2 li3,rational; reasonable; fair,
和睦,6,he2 mu4,peaceful relations; harmonious,
和平,5,he2 ping2,peace,
和气,6,he2 qi5,friendly; polite; amiable,
合身,6,he2 shen1,well-fitting (of clothes),
合适,4,he2 shi4,suitable; fitting; decent; to fit,
合算,6,he2 suan4,worthwhile; be a good deal; be a bargain; reckon up; calculate,
合同,5,he2 tong5,(business) contract; CL:個|个[ge4],
和谐,6,he2 xie2,harmonious,
核心,5,he2 xin1,core; nucleus,
合影,5,he2 ying3,joint photo; group photo,
盒子,4,he2 zi5,case,
合作,5,he2 zuo4,to cooperate; to collaborate; to work together; cooperation; CL:個|个[ge4],
黑,2,hei1,black; dark; abbr. for Heilongjiang 黑龍江|黑龙江 province in northeast China,
嘿,6,hei1,hey,
黑板,3,hei1 ban3,"blackboard; CL:塊|块[kuai4],個|个[ge4]",
痕迹,6,hen2 ji4,vestige; mark; trace,
很,1,hen3,(adverb of degree); quite; very; awfully,
狠心,6,hen3 xin1,callous; heartless,
恨,5,hen4,to hate; to regret,
恨不得,6,hen4 bu5 de2,wishing one could do sth; to hate to be unable; itching to do sth; can't wait for; to wish one could do sth; to desire strongly,
哼,6,heng1,to groan; to snort; to hum; to croon; humph!,
横,5,heng2,horizontal; across; (horizontal character stroke),
哄,6,hong1,roar of laughter (onomatopoeia); hubbub; to roar (as a crowd),
烘,6,hong1,to bake; to heat by fire,
轰动,6,hong1 dong4,sensation; stir,
红,2,hong2,bonus; popular; red; revolutionary,
红包,6,hong2 bao1,lit. money wrapped in red as a gift; a bonus payment; a kickback; a bribe,
宏观,6,hong2 guan1,macro-; macroscopic; holistic,
洪水,6,hong2 shui3,deluge; flood,
宏伟,6,hong2 wei3,grand; imposing; magnificent,
喉咙,6,hou2 long2,throat; larynx,
猴子,4,hou2 zi5,monkey; CL:隻|只[zhi1],
吼,6,hou3,roar or howl of an animal; bellow of rage,
厚,4,hou4,thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress,
后代,6,hou4 dai4,posterity; later periods; later ages; later generations,
后顾之忧,6,hou4 gu4 zhi1 you1,"fears of trouble in the rear (idiom); family worries (obstructing freedom of action); worries about the future consequences; often in negative expressions, meaning ""no worries about anything""",
后果,5,hou4 guo3,consequences; aftermath,
后悔,4,hou4 hui3,to regret; to repent,
后来,4,hou4 lai2,afterwards; later,
后面,6,hou4 mian4,rear; back; behind; later; afterwards,
后勤,6,hou4 qin2,logistics,
候选,6,hou4 xuan3,candidate,
忽略,6,hu1 lve4,to neglect; to overlook; to ignore,
忽然,4,hu1 ran2,suddenly; all of a sudden,
忽视,5,hu1 shi4,to neglect; to ignore,
呼吸,5,hu1 xi1,to breathe,
呼啸,6,hu1 xiao4,to whistle; to scream; to whiz,
呼吁,6,hu1 yu4,to call on (sb to do sth); to appeal (to); an appeal,
壶,5,hu2,pot; classifier for bottled liquid,
蝴蝶,5,hu2 die2,butterfly; CL:隻|只[zhi1],
胡乱,6,hu2 luan4,careless; reckless; casually; absent-mindedly; at will; at random; any old how,
湖泊,6,hu2 po1,lake,
胡说,5,hu2 shuo1,to talk nonsense; drivel,
胡同,5,hu2 tong4,lane; alley; CL:條|条[tiao2],
糊涂,5,hu2 tu5,muddled; silly; confused,
胡须,5,hu2 xu1,"beard; CL:根[gen1],綹|绺[liu3]",
互联网,6,hu4 lian2 wang3,the Internet,
护士,4,hu4 shi5,nurse; CL:個|个[ge4],
互相,4,hu4 xiang1,each other; mutually; mutual,
护照,3,hu4 zhao4,"passport; CL:本[ben3],個|个[ge4]",
花,3,hua1,"to spend (money, time); flower",
花生,5,hua1 sheng1,peanut; groundnut; CL:粒[li4],
花园,3,hua1 yuan2,"garden; CL:座[zuo4],個|个[ge4]",
滑冰,5,hua2 bing1,to skate; skating,
划船,5,hua2 chuan2,to row a boat; rowing boat; rowing (sport),
华丽,6,hua2 li4,gorgeous,
华侨,6,hua2 qiao2,"overseas Chinese; CL:個|个[ge4],位[wei4]",
华裔,5,hua2 yi4,ethnic Chinese; non-Chinese citizen of Chinese ancestry,
画,3,hua4,"to draw; picture; painting; CL:幅[fu2],張|张[zhang1]",
化肥,6,hua4 fei2,fertilizer,
划分,6,hua4 fen1,to divide,
画蛇添足,6,hua4 she2 tian1 zu2,lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous; to overdo it,
化石,6,hua4 shi2,fossil,
话题,5,hua4 ti2,subject (of a talk or conversation); topic,
话筒,6,hua4 tong3,microphone,
化学,5,hua4 xue2,chemistry; chemical,
化验,6,hua4 yan4,laboratory test; chemical experiment; assay,
化妆,6,hua4 zhuang1,to put on make-up,
怀念,5,huai2 nian4,to cherish the memory of; to think of; reminisce,
怀疑,4,huai2 yi2,to doubt; to suspect; doubt; suspicion; skeptical,
怀孕,6,huai2 yun4,pregnant; to have conceived; gestation; pregnancy,
坏,3,huai4,bad; spoiled; broken; to break down,
欢乐,6,huan1 le4,gaiety; gladness; glee; merriment; pleasure; happy; joyous; gay,
欢迎,2,huan1 ying2,to welcome; welcome,
还,4,huan2,to pay back; to return; surname Huan,
环节,6,huan2 jie2,round segment; segment (of annelid worms); connection; link; sector; annular ring,
环境,3,huan2 jing4,environment; circumstances; surroundings; CL:個|个[ge4]; ambient,
还原,6,huan2 yuan2,to restore to the original state; reduction (chemistry),
缓和,6,huan3 he2,to ease (tension); to alleviate; to moderate; to allay; to make more mild,
缓解,5,huan3 jie3,to ease; to help relieve (a crisis),
换,3,huan4,change; exchange,
幻想,5,huan4 xiang3,delusion; fantasy,
患者,6,huan4 zhe3,patient; sufferer,
荒凉,6,huang1 liang2,desolate,
慌忙,6,huang1 mang2,in a great rush; in a flurry,
荒谬,6,huang1 miu4,absurd; ridiculous,
荒唐,6,huang1 tang2,beyond belief; preposterous; absurd; intemperate; dissipated,
慌张,5,huang1 zhang1,confused; flustered,
黄,3,huang2,yellow; pornographic; to fall through,
皇帝,5,huang2 di4,emperor; CL:個|个[ge4],
黄瓜,5,huang2 gua1,cucumber; CL:條|条[tiao2],
皇后,5,huang2 hou4,empress; imperial consort,
黄昏,6,huang2 hun1,dusk; evening; nightfall,
黄金,5,huang2 jin1,gold,
恍然大悟,6,huang3 ran2 da4 wu4,to suddenly realize; to suddenly see the light,
挥,5,hui1,to wave; to brandish; to wipe away; to command; to conduct; to scatter; to disperse,
灰,5,hui1,ash; dust; lime; gray; discouraged; dejected,
灰尘,5,hui1 chen2,dust,
恢复,5,hui1 fu4,to reinstate; to resume; to restore; to recover; to regain; to rehabilitate,
辉煌,6,hui1 huang2,splendid; glorious,
挥霍,6,hui1 huo4,to squander money; extravagant; prodigal; free and easy; agile,
灰心,5,hui1 xin1,lose heart; be discouraged,
回,1,hui2,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),
回报,6,hui2 bao4,(in) return; reciprocation; payback; retaliation; to report back; to reciprocate,
回避,6,hui2 bi4,to evade; to shun; to avoid,
回答,2,hui2 da2,to reply; to answer; the answer; CL:個|个[ge4],
回顾,6,hui2 gu4,to look back; to review,
回收,6,hui2 shou1,to recycle; to reclaim; to retrieve; to recover,
回忆,4,hui2 yi4,to recall; recollection; CL:個|个[ge4],
悔恨,6,hui3 hen4,remorse; repentance,
毁灭,6,hui3 mie4,perish; ruin; destroy,
会,1,hui4,can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is hui3),
汇报,6,hui4 bao4,to report; to give an account of; to collect information and report back,
贿赂,6,hui4 lu4,to bribe; a bribe,
汇率,5,hui4 lv4,exchange rate,
会晤,6,hui4 wu4,to meet; meeting; conference,
会议,3,hui4 yi4,"meeting; conference; CL:場|场[chang3],屆|届[jie4]",
婚礼,5,hun1 li3,wedding ceremony; wedding,
昏迷,6,hun1 mi2,to lose consciousness; to be in a coma; stupor; coma; stunned; disoriented,
婚姻,5,hun1 yin1,matrimony; wedding; marriage; CL:次[ci4],
浑身,6,hun2 shen1,all over; from head to foot,
混合,6,hun4 he2,to mix; to blend,
混乱,6,hun4 luan4,confusion; chaos; disorder,
混淆,6,hun4 xiao2,to obscure; to confuse; to mix up; to blur; to mislead,
混浊,6,hun4 zhuo2,turbid; muddy; dirty,
活动,4,huo2 dong4,"to exercise; to move about; to operate; activity; loose; shaky; active; movable; maneuver; to use connections; CL:項|项[xiang4],個|个[ge4]",
活该,6,huo2 gai1,(coll.) serve sb right; deservedly; ought; should,
活力,6,huo2 li4,energy; vitality; vigor; vital force,
活泼,4,huo2 po5,lively; vivacious; brisk; active,
活跃,5,huo2 yue4,active; vigorous,
火,4,huo3,fire; CL:把[ba3],
伙伴,5,huo3 ban4,partner; companion; comrade,
火柴,5,huo3 chai2,"match (for lighting fire); CL:根[gen1],盒[he2]",
火车站,1,huo3 che1 zhan4,train station,
火箭,6,huo3 jian4,rocket; CL:枚[mei2],
火焰,6,huo3 yan4,blaze; flame,
火药,6,huo3 yao4,gunpowder,
货币,6,huo4 bi4,currency; monetary; money,
获得,4,huo4 de2,to obtain; to receive; to get,
或许,6,huo4 xu3,perhaps; maybe,
或者,3,huo4 zhe3,or; possibly; maybe; perhaps,
基本,5,ji1 ben3,basic; fundamental; main; elementary,
机场,2,ji1 chang3,"airport; airfield; CL:家[jia1],處|处[chu4]",
基础,4,ji1 chu3,base; foundation; basis; underlying; CL:個|个[ge4],
鸡蛋,2,ji1 dan4,"(chicken) egg; hen's egg; CL:個|个[ge4],打[da2]",
基地,6,ji1 di4,base (of operations); industrial or military base; al-Qaeda,
激动,4,ji1 dong4,to excite; to agitate; exciting,
机动,6,ji1 dong4,"locomotive; motorized; power-driven; adaptable; flexible (use, treatment, timing etc)",
饥饿,6,ji1 e4,hunger; starvation; famine,
激发,6,ji1 fa1,to arouse; to excite,
机构,6,ji1 gou4,mechanism; structure; organization; agency; institution; CL:所[suo3],
机关,6,ji1 guan1,mechanism; gear; machine-operated; office; agency; organ; organization; establishment; institution; body; strategum; scheme; intrigue; plot; trick; CL:個|个[ge4],
几乎,3,ji1 hu1,almost; nearly; practically,
机会,3,ji1 hui4,opportunity; chance; occasion; CL:個|个[ge4],
积极,4,ji1 ji2,active; energetic; vigorous; positive (outlook); proactive,
基金,6,ji1 jin1,fund,
积累,4,ji1 lei3,to accumulate; accumulation; cumulative; cumulatively,
激励,6,ji1 li4,to encourage; to urge; motivation; incentive,
激烈,5,ji1 lie4,intense; acute; fierce,
机灵,6,ji1 ling5,clever; quick-witted,
机密,6,ji1 mi4,secret; classified (information),
机器,5,ji1 qi4,"machine; CL:臺|台[tai2],部[bu4],個|个[ge4]",
激情,6,ji1 qing2,passion; fervor; enthusiasm; strong emotion,
肌肉,5,ji1 rou4,muscle; flesh,
讥笑,6,ji1 xiao4,to sneer,
机械,6,ji1 xie4,machine; machinery; mechanical,
基因,6,ji1 yin1,gene (loanword),
机遇,6,ji1 yu4,opportunity; favorable circumstance; stroke of luck,
机智,6,ji1 zhi4,quick-witted; tact; witty; resourceful,
极,3,ji2,"extremely; pole (geography, physics); utmost; top",
即便,6,ji2 bian4,even if; even though; right away; immediately,
级别,6,ji2 bie2,(military) rank; level; grade,
疾病,6,ji2 bing4,disease; sickness; ailment,
嫉妒,6,ji2 du4,to be jealous; to envy; to hate,
极端,6,ji2 duan1,extreme,
及格,5,ji2 ge2,to pass a test,
急功近利,6,ji2 gong1 jin4 li4,"seeking instant benefit (idiom); shortsighted vision, looking only for fast return",
籍贯,6,ji2 guan4,one's native place; place of ancestry; registered birthplace,
集合,4,ji2 he2,a congregation; to gather; a set,
即将,6,ji2 jiang1,on the eve of; to be about to; to be on the verge of,
急剧,6,ji2 ju4,rapid; sudden,
急忙,5,ji2 mang2,hastily,
极其,4,ji2 qi2,extremely,
急切,6,ji2 qie4,eager; impatient,
及时,4,ji2 shi2,in time; promptly; without delay; timely,
即使,4,ji2 shi3,even if; even though; given that,
集体,5,ji2 ti3,collective; social; team; CL:個|个[ge4],
集团,6,ji2 tuan2,group; bloc; corporation; conglomerate,
极限,6,ji2 xian4,limit; extreme boundary,
