hanzi,level,pinyin,definition
掰,6,bai1,to break with both hands,
白,2,bai2,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,
摆,5,bai3,to arrange; to exhibit; to move to and fro; a pendulum,
百,2,bai3,hundred; numerous; all kinds of; surname Bai,
百分点,6,bai3 fen1 dian3,percentage point,
摆脱,6,bai3 tuo1,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself,
拜访,6,bai4 fang3,pay a visit; call on,
败坏,6,bai4 huai4,to ruin; to corrupt; to undermine,
拜年,6,bai4 nian2,pay a New Year call; wish sb a Happy New Year,
拜托,6,bai4 tuo1,request sb to do sth; please!,
搬,3,ban1,to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically,
班,3,ban1,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[ge4],
颁布,6,ban1 bu4,"to issue; to proclaim; to enact (laws, decrees etc)",
颁发,6,ban1 fa1,issue; promulgate; award,
斑纹,6,ban1 wen2,stripe; streak,
班主任,5,ban1 zhu3 ren4,a teacher in charge of a class,
版本,6,ban3 ben3,version; edition; release,
半,3,ban4,half; semi-; incomplete; (after a number) and a half,
办法,3,ban4 fa3,"means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]",
办公室,3,ban4 gong1 shi4,an office; business premises; a bureau; CL:間|间[jian1],
办理,5,ban4 li3,to handle; to transact; to conduct,
伴侣,6,ban4 lv3,companion; mate; partner,
伴随,6,ban4 sui2,to accompany; to follow; to occur together with; attendant,
半途而废,6,ban4 tu2 er2 fei4,to give up halfway (idiom); leave sth unfinished,
扮演,6,ban4 yan3,play the part of; act,
帮忙,3,bang1 mang2,to help; to lend a hand; to do a favor; to do a good turn,
帮助,2,bang1 zhu4,assistance; aid; to help; to assist,
绑架,6,bang3 jia4,to kidnap; to abduct; to hijack; a kidnapping; abduction; staking,
榜样,6,bang3 yang4,example; model; CL:個|个[ge4],
棒,5,bang4,a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,
磅,6,bang4,"see 磅秤 scale; platform balance; pound (unit of weight, about 454 grams)",
傍晚,5,bang4 wan3,in the evening; when night falls; towards evening; at night fall; at dusk,
包,3,bao1,"to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[ge4],隻|只[zhi1]",
包庇,6,bao1 bi4,shield; harbor; cover up,
包袱,6,bao1 fu5,cloth-wrapper; a bundle wrapped in cloth; load; weight; burden,
包裹,5,bao1 guo3,wrap up; bind up; bundle; parcel; package; CL:個|个[ge4],
包含,5,bao1 han2,to contain; to embody; to include,
